Timestamp,Location,Vehicle Count,Avg Speed,Density
2025-04-09 15:12:34.970350,Jaydev Vihar,116,36,120.55
2025-04-09 15:12:34.998894,Rupali Square,64,20,39.54
2025-04-09 15:12:35.001162,CRP Square,49,57,32.45
2025-04-09 15:12:45.010113,Jaydev Vihar,24,31,14.68
2025-04-09 15:12:45.012390,Rupali Square,108,75,62.25
2025-04-09 15:12:45.012390,CRP Square,79,67,71.34
2025-04-09 15:12:55.016655,Jaydev Vihar,78,39,92.16
2025-04-09 15:12:55.019166,Rupali Square,23,67,12.61
2025-04-09 15:12:55.019166,CRP Square,19,25,10.66
2025-04-09 15:13:05.025773,Jaydev Vihar,142,44,72.31
2025-04-09 15:13:05.025773,Rupali Square,111,37,87.52
2025-04-09 15:13:05.025773,CRP Square,150,46,116.56
2025-04-09 15:13:15.033088,Jaydev Vihar,86,21,55.27
2025-04-09 15:13:15.035714,Rupali Square,89,79,71.75
2025-04-09 15:13:15.036027,CRP Square,98,41,65.9
2025-04-09 15:13:25.039912,Jaydev Vihar,120,74,145.14
2025-04-09 15:13:25.039912,Rupali Square,12,68,8.87
2025-04-09 15:13:25.044641,CRP Square,139,20,123.03
2025-04-09 15:13:35.047065,Jaydev Vihar,124,70,140.41
2025-04-09 15:13:35.049471,Rupali Square,117,20,129.32
2025-04-09 15:13:35.051294,CRP Square,38,40,27.54
2025-04-09 15:13:45.053288,Jaydev Vihar,50,64,25.47
2025-04-09 15:13:45.054020,Rupali Square,91,63,126.92
2025-04-09 15:13:45.054020,CRP Square,150,69,219.69
2025-04-09 15:13:55.059258,Jaydev Vihar,59,78,36.22
2025-04-09 15:13:55.061034,Rupali Square,27,25,16.38
2025-04-09 15:13:55.061034,CRP Square,29,38,47.92
2025-04-09 15:14:05.065104,Jaydev Vihar,101,56,71.47
2025-04-09 15:14:05.067718,Rupali Square,88,48,81.68
2025-04-09 15:14:05.069235,CRP Square,141,38,74.19
2025-04-09 15:14:15.074741,Jaydev Vihar,70,33,41.95
2025-04-09 15:14:15.074741,Rupali Square,118,31,111.72
2025-04-09 15:14:15.074741,CRP Square,121,33,191.99
2025-04-09 15:14:25.081781,Jaydev Vihar,76,77,109.7
2025-04-09 15:14:25.081781,Rupali Square,77,49,86.81
2025-04-09 15:14:25.081781,CRP Square,92,67,52.03
2025-04-09 15:14:35.088930,Jaydev Vihar,27,31,29.07
2025-04-09 15:14:35.088930,Rupali Square,32,36,18.35
2025-04-09 15:14:35.088930,CRP Square,104,75,69.97
2025-04-09 15:14:45.094938,Jaydev Vihar,38,67,36.15
2025-04-09 15:14:45.096065,Rupali Square,63,25,43.77
2025-04-09 15:14:45.096065,CRP Square,64,63,32.25
2025-04-09 15:14:55.114976,Jaydev Vihar,104,29,55.01
2025-04-09 15:14:55.114976,Rupali Square,113,74,64.81
2025-04-09 15:14:55.114976,CRP Square,86,46,47.53
2025-04-09 15:15:05.121926,Jaydev Vihar,55,29,93.28
2025-04-09 15:15:05.121926,Rupali Square,87,23,101.29
2025-04-09 15:15:05.130810,CRP Square,53,50,42.36
2025-04-09 15:15:15.133649,Jaydev Vihar,17,45,8.62
2025-04-09 15:15:15.133649,Rupali Square,62,56,33.98
2025-04-09 15:15:15.133649,CRP Square,106,48,79.12
2025-04-09 15:15:25.139881,Jaydev Vihar,118,71,63.99
2025-04-09 15:15:25.142007,Rupali Square,83,47,41.83
2025-04-09 15:15:25.143819,CRP Square,139,75,125.95
2025-04-09 15:15:35.146216,Jaydev Vihar,61,61,40.98
2025-04-09 15:15:35.146216,Rupali Square,46,25,38.97
2025-04-09 15:15:35.146216,CRP Square,101,59,64.77
2025-04-09 15:15:45.152636,Jaydev Vihar,72,72,76.66
2025-04-09 15:15:45.152636,Rupali Square,127,37,241.41
2025-04-09 15:15:45.152636,CRP Square,132,75,142.06
2025-04-09 15:15:55.159668,Jaydev Vihar,121,49,240.86
2025-04-09 15:15:55.161933,Rupali Square,56,70,42.1
2025-04-09 15:15:55.162432,CRP Square,88,37,49.44
2025-04-09 15:16:05.166399,Jaydev Vihar,145,42,85.04
2025-04-09 15:16:05.166399,Rupali Square,91,46,80.24
2025-04-09 15:16:05.166399,CRP Square,44,68,26.09
2025-04-09 15:16:15.172337,Jaydev Vihar,83,58,59.21
2025-04-09 15:16:15.172337,Rupali Square,83,43,100.9
2025-04-09 15:16:15.172337,CRP Square,17,38,13.92
2025-04-09 15:16:25.179748,Jaydev Vihar,126,20,130.42
2025-04-09 15:16:25.179748,Rupali Square,11,24,5.53
2025-04-09 15:16:25.179748,CRP Square,72,23,58.5
2025-04-09 15:16:35.186038,Jaydev Vihar,68,39,77.29
2025-04-09 15:16:35.186038,Rupali Square,142,59,91.64
2025-04-09 15:16:35.186038,CRP Square,127,20,121.22
2025-04-09 15:16:45.192635,Jaydev Vihar,114,34,134.61
2025-04-09 15:16:45.192635,Rupali Square,59,44,71.07
2025-04-09 15:16:45.192635,CRP Square,12,33,20.78
2025-04-09 15:16:55.199087,Jaydev Vihar,81,44,68.59
2025-04-09 15:16:55.214756,Rupali Square,45,33,24.72
2025-04-09 15:16:55.231562,CRP Square,73,58,50.82
2025-04-09 15:17:05.233865,Jaydev Vihar,118,25,77.82
2025-04-09 15:17:05.233865,Rupali Square,120,23,140.5
2025-04-09 15:17:05.236687,CRP Square,14,62,8.93
2025-04-09 15:17:15.240932,Jaydev Vihar,40,68,30.51
2025-04-09 15:17:15.240932,Rupali Square,46,64,23.59
2025-04-09 15:17:15.246137,CRP Square,46,50,37.93
2025-04-09 15:17:25.248976,Jaydev Vihar,91,76,55.87
2025-04-09 15:17:25.850559,Rupali Square,10,42,5.03
2025-04-09 15:17:25.852376,CRP Square,48,34,37.79
2025-04-09 15:17:35.855736,Jaydev Vihar,48,38,78.09
2025-04-09 15:17:35.855736,Rupali Square,28,22,38.13
2025-04-09 15:17:35.855736,CRP Square,22,76,19.65
2025-04-09 15:17:45.862698,Jaydev Vihar,46,76,33.09
2025-04-09 15:17:45.862698,Rupali Square,58,60,66.73
2025-04-09 15:17:45.862698,CRP Square,33,48,42.44
2025-04-09 15:17:55.869425,Jaydev Vihar,41,53,25.85
2025-04-09 15:17:55.871658,Rupali Square,23,44,27.31
2025-04-09 15:17:55.871658,CRP Square,109,26,66.97
2025-04-09 15:18:05.878071,Jaydev Vihar,78,51,50.01
2025-04-09 15:18:05.879896,Rupali Square,17,29,23.85
2025-04-09 15:18:05.879896,CRP Square,95,40,52.66
2025-04-09 15:18:15.885025,Jaydev Vihar,11,60,6.16
2025-04-09 15:18:16.165583,Rupali Square,13,48,7.1
2025-04-09 15:18:16.172860,CRP Square,64,32,66.82
2025-04-09 15:18:26.176795,Jaydev Vihar,100,30,55.84
2025-04-09 15:18:26.179153,Rupali Square,98,24,78.85
2025-04-09 15:18:26.179521,CRP Square,66,39,84.81
2025-04-09 15:18:36.182748,Jaydev Vihar,20,25,13.79
2025-04-09 15:18:36.182748,Rupali Square,10,45,6.53
2025-04-09 15:18:36.182748,CRP Square,97,63,152.07
2025-04-09 15:18:46.188655,Jaydev Vihar,34,65,19.47
2025-04-09 15:18:46.192648,Rupali Square,23,46,17.17
2025-04-09 15:18:46.192648,CRP Square,17,43,9.5
2025-04-09 15:18:56.196709,Jaydev Vihar,139,52,82.66
2025-04-09 15:18:56.196709,Rupali Square,30,28,28.33
2025-04-09 15:18:56.196709,CRP Square,102,70,71.5
2025-04-09 15:19:06.203796,Jaydev Vihar,130,79,231.19
2025-04-09 15:19:06.203796,Rupali Square,105,64,99.03
2025-04-09 15:19:06.203796,CRP Square,38,48,55.39
2025-04-09 15:19:16.427674,Jaydev Vihar,26,42,18.69
2025-04-09 15:19:16.631395,Rupali Square,23,33,11.58
2025-04-09 15:19:16.709602,CRP Square,107,59,58.32
2025-04-09 15:19:27.018437,Jaydev Vihar,27,44,16.98
2025-04-09 15:19:27.136223,Rupali Square,124,46,152.82
2025-04-09 15:19:27.183478,CRP Square,109,40,87.3
2025-04-09 15:19:37.193195,Jaydev Vihar,139,74,85.13
2025-04-09 15:19:37.293160,Rupali Square,115,43,223.33
2025-04-09 15:19:37.293160,CRP Square,74,33,60.11
2025-04-09 15:19:47.308047,Jaydev Vihar,145,79,122.29
2025-04-09 15:19:47.310416,Rupali Square,37,44,41.22
2025-04-09 15:19:47.312594,CRP Square,37,53,51.9
2025-04-09 15:19:57.321993,Jaydev Vihar,106,59,170.17
2025-04-09 15:19:57.782055,Rupali Square,27,29,51.49
2025-04-09 15:19:57.785213,CRP Square,68,52,41.98
2025-04-09 15:20:07.789638,Jaydev Vihar,128,56,116.8
2025-04-09 15:20:08.213726,Rupali Square,107,35,94.55
2025-04-09 15:20:08.217079,CRP Square,16,65,8.7
2025-04-09 15:20:19.099140,Jaydev Vihar,105,21,207.14
2025-04-09 15:20:19.778905,Rupali Square,125,46,222.99
2025-04-09 15:20:19.781365,CRP Square,140,67,181.36
2025-04-09 15:20:29.786022,Jaydev Vihar,44,54,48.06
2025-04-09 15:20:29.818399,Rupali Square,64,26,111.44
2025-04-09 15:20:29.819220,CRP Square,92,65,96.28
2025-04-09 15:20:40.609097,Jaydev Vihar,113,71,59.86
2025-04-09 15:20:43.443319,Rupali Square,43,68,29.25
2025-04-09 15:20:43.831217,CRP Square,14,80,7.13
2025-04-09 15:20:53.864410,Jaydev Vihar,124,72,129.07
2025-04-09 15:20:54.227571,Rupali Square,68,69,51.87
2025-04-09 15:20:54.231464,CRP Square,103,68,105.45
2025-04-09 15:21:04.233675,Jaydev Vihar,47,56,26.72
2025-04-09 15:21:04.233675,Rupali Square,111,76,93.88
2025-04-09 15:21:04.326675,CRP Square,19,49,21.34
2025-04-09 15:21:15.036916,Jaydev Vihar,94,30,104.87
2025-04-09 15:21:15.040058,Rupali Square,107,30,129.8
2025-04-09 15:21:15.040058,CRP Square,43,54,26.86
2025-04-09 15:21:25.043176,Jaydev Vihar,20,55,30.91
2025-04-09 15:21:25.074667,Rupali Square,95,46,106.61
2025-04-09 15:21:25.156672,CRP Square,114,37,71.34
2025-04-09 15:21:36.466135,Jaydev Vihar,44,47,24.59
2025-04-09 15:21:37.006793,Rupali Square,135,61,83.82
2025-04-09 15:21:37.211050,CRP Square,59,51,45.18
2025-04-09 15:21:47.214379,Jaydev Vihar,113,66,59.21
2025-04-09 15:21:47.214379,Rupali Square,37,61,59.86
2025-04-09 15:21:47.357330,CRP Square,83,67,76.48
2025-04-09 15:21:57.367330,Jaydev Vihar,132,70,78.49
2025-04-09 15:21:57.367330,Rupali Square,148,36,272.03
2025-04-09 15:21:57.367330,CRP Square,113,35,202.92
2025-04-09 15:22:07.373545,Jaydev Vihar,114,39,111.42
2025-04-09 15:22:07.373545,Rupali Square,90,30,52.81
2025-04-09 15:22:07.378266,CRP Square,110,30,55.87
2025-04-09 15:22:17.395462,Jaydev Vihar,14,37,8.61
2025-04-09 15:22:17.459039,Rupali Square,55,33,72.34
2025-04-09 15:22:17.459039,CRP Square,126,48,105.73
2025-04-09 15:22:27.489566,Jaydev Vihar,48,75,82.18
2025-04-09 15:22:27.505187,Rupali Square,126,76,68.78
2025-04-09 15:22:27.528969,CRP Square,18,80,34.54
2025-04-09 15:22:37.591978,Jaydev Vihar,121,73,65.54
2025-04-09 15:22:37.607701,Rupali Square,52,54,38.65
2025-04-09 15:22:37.638863,CRP Square,42,37,70.73
2025-04-09 15:22:47.642274,Jaydev Vihar,14,61,8.41
2025-04-09 15:22:47.642274,Rupali Square,48,26,24.5
2025-04-09 15:22:47.642274,CRP Square,149,66,129.83
2025-04-09 15:22:57.648481,Jaydev Vihar,69,66,52.52
2025-04-09 15:22:57.888957,Rupali Square,60,56,66.76
2025-04-09 15:22:58.105901,CRP Square,128,78,135.38
2025-04-09 15:23:08.356906,Jaydev Vihar,74,75,71.02
2025-04-09 15:23:08.508252,Rupali Square,120,78,86.74
2025-04-09 15:23:08.593823,CRP Square,147,52,136.21
2025-04-09 15:23:18.602510,Jaydev Vihar,97,71,63.13
2025-04-09 15:23:18.682225,Rupali Square,138,21,142.49
2025-04-09 15:23:18.682225,CRP Square,69,61,101.12
2025-04-09 15:23:28.694256,Jaydev Vihar,71,27,140.41
2025-04-09 15:23:28.694256,Rupali Square,139,50,120.37
2025-04-09 15:23:28.694256,CRP Square,136,52,82.31
2025-04-09 15:23:38.699575,Jaydev Vihar,72,37,57.96
2025-04-09 15:23:38.699575,Rupali Square,18,49,9.18
2025-04-09 15:23:38.699575,CRP Square,99,45,54.32
2025-04-09 15:23:48.706253,Jaydev Vihar,59,27,40.7
2025-04-09 15:23:48.866962,Rupali Square,106,20,59.88
2025-04-09 15:23:48.867461,CRP Square,17,53,28.57
2025-04-09 15:23:58.871210,Jaydev Vihar,67,37,82.07
2025-04-09 15:23:58.967249,Rupali Square,55,36,41.46
2025-04-09 15:23:59.003330,CRP Square,62,60,52.18
2025-04-09 15:24:09.005435,Jaydev Vihar,50,68,45.54
2025-04-09 15:24:09.008531,Rupali Square,68,42,37.15
2025-04-09 15:24:09.010211,CRP Square,79,59,128.57
2025-04-09 15:24:19.012262,Jaydev Vihar,134,53,226.55
2025-04-09 15:24:19.209716,Rupali Square,113,25,154.99
2025-04-09 15:24:19.209716,CRP Square,101,80,78.29
2025-04-09 15:24:29.217707,Jaydev Vihar,22,68,42.15
2025-04-09 15:24:29.217707,Rupali Square,26,68,19.05
2025-04-09 15:24:29.291487,CRP Square,34,43,19.79
2025-04-09 15:24:39.294123,Jaydev Vihar,43,47,23.28
2025-04-09 15:24:39.294123,Rupali Square,23,27,29.71
2025-04-09 15:24:39.294123,CRP Square,61,78,34.88
2025-04-09 15:24:49.297619,Jaydev Vihar,17,47,21.14
2025-04-09 15:24:49.297619,Rupali Square,78,29,53.38
2025-04-09 15:24:49.297619,CRP Square,76,72,41.97
2025-04-09 15:24:59.301580,Jaydev Vihar,45,51,43.71
2025-04-09 15:24:59.301580,Rupali Square,144,48,90.0
2025-04-09 15:24:59.301580,CRP Square,73,72,93.55
2025-04-09 15:25:09.305612,Jaydev Vihar,28,26,21.62
2025-04-09 15:25:09.305612,Rupali Square,91,80,69.08
2025-04-09 15:25:09.305612,CRP Square,96,67,60.54
2025-04-09 15:25:19.309321,Jaydev Vihar,60,37,53.08
2025-04-09 15:25:19.387541,Rupali Square,79,60,41.71
2025-04-09 15:25:19.450025,CRP Square,68,53,45.32
2025-04-09 15:25:29.465936,Jaydev Vihar,13,67,14.36
2025-04-09 15:25:29.528537,Rupali Square,28,65,20.64
2025-04-09 15:25:29.528537,CRP Square,143,61,116.19
2025-04-09 15:25:39.538712,Jaydev Vihar,98,58,78.57
2025-04-09 15:25:39.538712,Rupali Square,145,29,162.43
2025-04-09 15:25:39.538712,CRP Square,95,63,111.61
2025-04-09 15:25:49.543246,Jaydev Vihar,64,43,33.44
2025-04-09 15:25:49.543246,Rupali Square,129,69,104.18
2025-04-09 15:25:49.543246,CRP Square,63,70,37.86
2025-04-09 15:25:59.547666,Jaydev Vihar,62,39,31.87
2025-04-09 15:25:59.547666,Rupali Square,14,65,11.04
2025-04-09 15:25:59.547666,CRP Square,146,78,120.32
2025-04-09 15:26:09.552300,Jaydev Vihar,144,71,171.38
2025-04-09 15:26:09.552300,Rupali Square,50,34,25.7
2025-04-09 15:26:09.552300,CRP Square,42,38,24.26
2025-04-09 15:26:19.556224,Jaydev Vihar,54,48,40.78
2025-04-09 15:26:19.556224,Rupali Square,144,51,191.79
2025-04-09 15:26:19.556224,CRP Square,37,27,20.42
2025-04-09 15:26:29.572853,Jaydev Vihar,75,80,121.7
2025-04-09 15:26:30.072912,Rupali Square,61,49,66.78
2025-04-09 15:26:30.072912,CRP Square,73,75,75.55
2025-04-09 15:26:40.076867,Jaydev Vihar,84,38,84.23
2025-04-09 15:26:40.076867,Rupali Square,93,33,51.39
2025-04-09 15:26:40.076867,CRP Square,72,80,91.06
2025-04-09 16:53:35.094807,Jaydev Vihar,47,24,62.67
2025-04-09 16:53:35.803562,Rupali Square,23,30,32.22
2025-04-09 16:53:35.803562,CRP Square,127,71,77.66
2025-04-09 16:53:45.808042,Jaydev Vihar,150,61,230.31
2025-04-09 16:53:45.808042,Rupali Square,84,55,72.33
2025-04-09 16:53:45.808042,CRP Square,38,42,24.31
2025-04-09 16:53:55.811567,Jaydev Vihar,86,50,75.57
2025-04-09 16:53:55.811567,Rupali Square,146,49,140.1
2025-04-09 16:53:55.811567,CRP Square,95,28,75.31
2025-04-09 16:54:05.814931,Jaydev Vihar,106,63,166.16
2025-04-09 16:54:07.127385,Rupali Square,68,71,58.01
2025-04-09 16:54:07.127385,CRP Square,30,61,26.65
2025-04-09 16:54:17.133518,Jaydev Vihar,61,54,36.95
2025-04-09 16:54:19.440420,Rupali Square,108,79,83.11
2025-04-09 16:54:19.440420,CRP Square,120,79,79.98
2025-04-09 16:54:29.452747,Jaydev Vihar,128,21,165.57
2025-04-09 16:54:29.827818,Rupali Square,141,73,84.43
2025-04-09 16:54:29.827818,CRP Square,127,64,108.09
2025-04-09 16:54:39.841558,Jaydev Vihar,25,74,16.05
2025-04-09 16:54:39.872902,Rupali Square,144,38,144.55
2025-04-09 16:54:39.872902,CRP Square,92,23,87.18
2025-04-09 16:54:49.889421,Jaydev Vihar,31,31,21.8
2025-04-09 16:54:49.921189,Rupali Square,77,64,124.01
2025-04-09 16:54:49.921189,CRP Square,61,33,64.75
2025-04-09 16:54:59.924262,Jaydev Vihar,128,57,79.73
2025-04-09 16:54:59.924262,Rupali Square,31,41,17.65
2025-04-09 16:54:59.924262,CRP Square,67,78,33.78
2025-04-09 16:55:09.928943,Jaydev Vihar,13,77,12.58
2025-04-09 16:55:09.991959,Rupali Square,73,47,79.42
2025-04-09 16:55:09.991959,CRP Square,150,80,144.79
2025-04-09 16:55:19.995889,Jaydev Vihar,87,39,46.51
2025-04-09 16:55:19.998259,Rupali Square,86,27,48.88
2025-04-09 16:55:20.000777,CRP Square,142,30,127.45
2025-04-09 16:55:30.002922,Jaydev Vihar,37,68,72.63
2025-04-09 16:55:30.005477,Rupali Square,79,51,66.09
2025-04-09 16:55:30.007463,CRP Square,61,36,38.34
2025-04-09 16:55:40.009571,Jaydev Vihar,37,29,18.98
2025-04-09 16:55:40.338882,Rupali Square,27,79,18.71
2025-04-09 16:55:40.340382,CRP Square,43,41,45.65
2025-04-09 16:55:50.341796,Jaydev Vihar,100,39,125.15
2025-04-09 16:55:51.712495,Rupali Square,32,35,56.39
2025-04-09 16:55:51.712495,CRP Square,111,41,176.36
2025-04-09 16:56:01.716616,Jaydev Vihar,119,29,178.67
2025-04-09 16:56:01.717780,Rupali Square,22,65,25.61
2025-04-09 16:56:01.719017,CRP Square,64,53,50.38
2025-04-09 16:56:11.720316,Jaydev Vihar,145,31,223.53
2025-04-09 16:56:12.054379,Rupali Square,116,64,199.0
2025-04-09 16:56:12.286137,CRP Square,65,37,51.44
2025-04-09 16:56:22.289665,Jaydev Vihar,75,51,72.16
2025-04-09 16:56:22.289665,Rupali Square,49,53,26.15
2025-04-09 16:56:22.289665,CRP Square,128,80,68.47
2025-04-09 16:56:32.535949,Jaydev Vihar,107,49,72.17
2025-04-09 16:56:32.952850,Rupali Square,20,39,33.71
2025-04-09 16:56:32.955479,CRP Square,13,38,23.55
2025-04-09 16:56:42.958293,Jaydev Vihar,75,27,95.77
2025-04-09 16:56:43.080393,Rupali Square,137,42,119.65
2025-04-09 16:56:43.081883,CRP Square,88,22,70.97
2025-04-09 16:56:53.083909,Jaydev Vihar,126,78,101.89
2025-04-09 16:56:53.326815,Rupali Square,20,39,12.81
2025-04-09 16:56:53.328591,CRP Square,149,50,143.29
2025-04-09 16:57:03.330862,Jaydev Vihar,23,69,14.74
2025-04-09 16:57:03.332925,Rupali Square,23,42,13.81
2025-04-09 16:57:03.332925,CRP Square,38,48,36.65
2025-04-09 16:57:13.336732,Jaydev Vihar,31,62,15.97
2025-04-09 16:57:15.152660,Rupali Square,117,53,80.68
2025-04-09 16:57:15.155329,CRP Square,119,44,70.1
2025-04-09 16:57:25.157170,Jaydev Vihar,37,24,26.95
2025-04-09 16:57:25.160157,Rupali Square,147,64,213.27
2025-04-09 16:57:25.162909,CRP Square,102,65,87.87
2025-04-09 16:57:35.165022,Jaydev Vihar,115,74,62.09
2025-04-09 16:57:35.281192,Rupali Square,80,70,53.12
2025-04-09 16:57:35.284969,CRP Square,37,35,23.6
2025-04-09 16:57:45.287887,Jaydev Vihar,11,72,18.75
2025-04-09 16:57:45.290602,Rupali Square,96,38,112.75
2025-04-09 16:57:45.295112,CRP Square,22,39,11.36
2025-04-09 16:57:55.298397,Jaydev Vihar,107,73,60.47
2025-04-09 16:57:55.301341,Rupali Square,93,79,101.28
2025-04-09 16:57:55.304209,CRP Square,69,46,61.31
2025-04-09 16:58:05.306603,Jaydev Vihar,135,54,86.5
2025-04-09 16:58:05.307598,Rupali Square,12,56,8.87
2025-04-09 16:58:05.307598,CRP Square,53,47,89.8
2025-04-09 16:58:15.314011,Jaydev Vihar,117,63,119.4
2025-04-09 16:58:15.316286,Rupali Square,78,30,62.23
2025-04-09 16:58:15.316286,CRP Square,124,72,164.26
2025-04-09 16:58:25.320258,Jaydev Vihar,27,58,15.56
2025-04-09 16:58:25.323208,Rupali Square,66,68,79.82
2025-04-09 16:58:25.324873,CRP Square,65,62,57.88
2025-04-09 16:58:35.327602,Jaydev Vihar,100,27,53.97
2025-04-09 16:58:35.327602,Rupali Square,145,40,75.68
2025-04-09 16:58:35.327602,CRP Square,57,49,47.37
2025-04-09 16:58:45.334260,Jaydev Vihar,49,59,55.4
2025-04-09 16:58:45.334260,Rupali Square,22,64,23.66
2025-04-09 16:58:45.334260,CRP Square,150,63,202.74
2025-04-09 16:58:55.340682,Jaydev Vihar,105,60,70.43
2025-04-09 16:58:55.340682,Rupali Square,104,66,63.13
2025-04-09 16:58:55.340682,CRP Square,43,41,56.32
2025-04-09 16:59:05.347049,Jaydev Vihar,132,58,200.18
2025-04-09 16:59:05.347049,Rupali Square,23,21,17.44
2025-04-09 16:59:05.347049,CRP Square,121,73,64.66
2025-04-09 16:59:15.353379,Jaydev Vihar,63,22,32.97
2025-04-09 16:59:15.353379,Rupali Square,97,43,144.99
2025-04-09 16:59:15.353379,CRP Square,145,73,76.98
2025-04-09 16:59:25.359636,Jaydev Vihar,49,31,70.06
2025-04-09 16:59:25.483292,Rupali Square,89,34,94.34
2025-04-09 16:59:25.483292,CRP Square,103,37,83.36
2025-04-09 16:59:35.487311,Jaydev Vihar,102,38,55.43
2025-04-09 16:59:35.596633,Rupali Square,30,77,40.69
2025-04-09 16:59:35.754762,CRP Square,30,60,21.13
2025-04-09 16:59:45.770844,Jaydev Vihar,54,35,65.72
2025-04-09 16:59:45.833643,Rupali Square,91,54,82.17
2025-04-09 16:59:45.849349,CRP Square,10,29,6.86
2025-04-09 16:59:55.897511,Jaydev Vihar,16,29,8.34
2025-04-09 16:59:55.987939,Rupali Square,44,22,42.78
2025-04-09 16:59:55.988434,CRP Square,137,55,71.8
2025-04-09 17:00:05.993203,Jaydev Vihar,10,61,9.04
2025-04-09 17:00:06.445730,Rupali Square,34,61,37.01
2025-04-09 17:00:07.632034,CRP Square,99,50,57.0
2025-04-09 17:00:18.295324,Jaydev Vihar,92,43,66.56
2025-04-09 17:00:18.295324,Rupali Square,41,25,33.81
2025-04-09 17:00:18.295324,CRP Square,61,38,114.5
2025-04-09 17:00:28.301074,Jaydev Vihar,87,66,137.21
2025-04-09 17:00:28.793392,Rupali Square,144,30,94.94
2025-04-09 17:00:28.797191,CRP Square,52,35,28.57
2025-04-09 17:00:39.246334,Jaydev Vihar,18,66,34.36
2025-04-09 17:00:39.283837,Rupali Square,36,60,18.56
2025-04-09 17:00:39.285197,CRP Square,132,50,105.96
2025-04-09 17:00:49.287014,Jaydev Vihar,118,34,74.56
2025-04-09 17:00:51.163356,Rupali Square,23,28,24.25
2025-04-09 17:00:52.300607,CRP Square,57,30,61.99
2025-04-09 17:01:02.302082,Jaydev Vihar,29,59,23.69
2025-04-09 17:01:02.403220,Rupali Square,42,65,21.52
2025-04-09 17:01:02.404946,CRP Square,79,71,139.05
2025-04-09 17:01:12.406549,Jaydev Vihar,97,79,57.64
2025-04-09 17:01:12.477137,Rupali Square,93,45,65.95
2025-04-09 17:01:12.478637,CRP Square,23,38,23.5
2025-04-09 17:01:22.480330,Jaydev Vihar,121,46,127.22
2025-04-09 17:01:22.481356,Rupali Square,149,33,96.05
